"","knr","aar","knavn","pm2","Menn_ya_p","kvinner_ya_p","totalt_ya_p","inc_k1","inc_k5","uni_k_mf","uni_k_m","uni_k_f","uni_l_mf","uni_l_m","uni_l_f","Trade_p"
"1","0101","2008","Halden (-2019)",13427,59.7489239598278,56.7976257772753,28.6131282927524,24.5,13.6,17.8,15.1,20.4,3.9,5.4,2.4,56266
"2","0101","2009","Halden (-2019)",13095,59.7785977859779,57.0469329229908,28.7294374581704,24.4,14.1,18.2,15.4,20.9,3.9,5.4,2.5,56366
"3","0101","2010","Halden (-2019)",13832,59.6429821491075,57.0630046235595,28.7357520155685,23.9,13.7,18.6,15.6,21.6,4.1,5.5,2.7,57210
"4","0101","2011","Halden (-2019)",14915,59.8463016330452,57.2238153762119,28.6824093086927,24,14,19,15.8,22.2,4.4,5.8,3,58010
"5","0101","2012","Halden (-2019)",15473,59.4512195121951,57.0046675235067,28.5245235758048,23.9,14,19.6,16.2,22.9,4.6,5.9,3.3,58787
"6","0101","2013","Halden (-2019)",15461,58.9779747515445,56.7387243127836,28.4605087014726,24.1,13.4,19.9,16.4,23.3,4.6,5.8,3.4,59453
"7","0101","2014","Halden (-2019)",17164,58.7601436743382,56.7293681282289,28.4249303066507,23.9,13.5,20.6,17,24,4.9,6.1,3.8,63033
"8","0101","2015","Halden (-2019)",17427,58.7145682267634,56.8478691120201,28.4126879451332,24,13.7,21,17.2,24.8,5.2,6.4,4.1,63747
"9","0101","2016","Halden (-2019)",18941,58.6894028485561,56.6412915080719,28.2575955997905,24,13.8,21.4,17.4,25.4,5.4,6.5,4.4,65624
"10","0101","2017","Halden (-2019)",20143,58.9413817617786,56.8518639420252,28.2819097109451,23.7,14,21.6,17.5,25.7,5.6,6.5,4.7,65919
"11","0104","2008","Moss (-2019)",18299,60.6985062066064,58.6742270824895,29.8971554363155,22.8,16.2,19.1,16.6,21.4,5.5,7.1,4,69916
"12","0104","2009","Moss (-2019)",18338,60.6928851849301,58.9222907956732,30.0087873462214,23.3,16,19.2,16.6,21.6,5.6,7.3,4.1,69933
"13","0104","2010","Moss (-2019)",18795,60.4149715215622,58.5198272477424,29.7802197802198,22.7,15.9,19.4,16.9,21.8,5.9,7.5,4.5,68390
"14","0104","2011","Moss (-2019)",20213,60.1809045226131,58.2073011734029,29.5027259210309,22.8,15.8,19.8,17.2,22.2,6.1,7.5,4.7,70540
"15","0104","2012","Moss (-2019)",21198,59.7690531177829,57.8943987667009,29.3363278325684,22.6,15.6,20.2,17.6,22.6,6.3,7.6,5.1,72721
"16","0104","2013","Moss (-2019)",21799,59.6072290728779,57.5569886980397,29.0886794888344,23.2,15.3,20.5,17.7,23.1,6.6,7.7,5.5,72253
"17","0104","2014","Moss (-2019)",23750,59.2418283798594,57.1437614736975,28.832886163281,23.4,15.3,20.9,18,23.6,7.2,8.2,6.1,73458
"18","0104","2015","Moss (-2019)",24716,59.0508775264525,57.1383981521943,28.7812087290108,23.2,15.8,21.2,18.1,24.2,7.7,8.7,6.6,78458
"19","0104","2016","Moss (-2019)",27254,58.825,56.6617229019899,28.4910819712883,22.7,15.9,21.6,18.4,24.7,8,9,7,77168
"20","0104","2017","Moss (-2019)",28299,58.7068697544296,56.6413429726749,28.5277872064677,22.9,15.9,21.8,18.5,25.1,8.3,9.2,7.4,77498
"21","0105","2008","Sarpsborg (1992-2019)",14981,60.8985484379931,58.0638885646473,29.2304076156151,22.2,13.6,16.3,13.7,18.9,2.8,3.9,1.7,63674
"22","0105","2009","Sarpsborg (1992-2019)",14214,60.6931464174455,57.8658372691318,29.1359743247685,22.5,13.3,16.6,13.9,19.2,2.9,3.9,1.8,62126
"23","0105","2010","Sarpsborg (1992-2019)",14870,60.0679038543154,57.5571646341463,28.9556931689641,22.3,13.1,17,14.1,19.8,2.9,4,1.9,61733
"24","0105","2011","Sarpsborg (1992-2019)",15634,59.7989567071546,57.2827970763318,28.7927279613673,22.4,13.2,17.2,14.2,20.2,3,4,2.1,62153
"25","0105","2012","Sarpsborg (1992-2019)",16536,59.5595708639187,56.9000298864316,28.5583034893968,22.8,13,17.7,14.6,20.8,3.1,4,2.3,63121
"26","0105","2013","Sarpsborg (1992-2019)",17540,59.2173555879168,56.7898941110905,28.4658075089392,23.5,12.7,18.1,14.8,21.3,3.2,4,2.4,61670
"27","0105","2014","Sarpsborg (1992-2019)",17896,59.3393527291643,56.6381787371988,28.4411476349914,23,13,18.5,15.1,21.9,3.5,4.2,2.8,65438
"28","0105","2015","Sarpsborg (1992-2019)",19136,59.0755897929706,56.5407671656063,28.3695010333629,23,13.5,19,15.5,22.5,3.8,4.5,3.2,67496
"29","0105","2016","Sarpsborg (1992-2019)",20919,59.1515729265968,56.5391913589257,28.3368082226855,22.8,13.8,19.4,15.6,23.2,4,4.7,3.3,69291
"30","0105","2017","Sarpsborg (1992-2019)",21372,58.8622080139499,56.6159420289855,28.3454568541731,22.8,14,19.9,15.9,23.7,4.2,4.8,3.6,69540
"31","0106","2008","Fredrikstad (1994-2019)",15671,59.8109082649556,57.8207046660318,29.5265088362788,21.8,16.2,19,16.2,21.5,4.3,5.8,2.9,69040
"32","0106","2009","Fredrikstad (1994-2019)",15043,59.8404255319149,57.8725701943845,29.4612424409016,21.9,16.2,19.4,16.5,22,4.5,6,3.2,68097
"33","0106","2010","Fredrikstad (1994-2019)",16092,59.7049153151162,57.7433569234878,29.3625573752682,21.9,15.9,19.8,16.7,22.6,4.7,6,3.4,69244
"34","0106","2011","Fredrikstad (1994-2019)",16750,59.4721934745901,57.8907054752912,29.3889700854128,22,16.1,20.2,16.9,23.3,4.9,6.2,3.7,69560
